brand_id,brand_name
1007,Zastraa
1008,Zebu
1009,Zeyo
1010,Zheia
1011,Zigo
1012,Zikaraa
1013,Zima Leto
1014,Zink London
1015,Zink Z
1016,Ziva Fashion
1017,Zivame
1018,Ziyaa
1019,Zoella
1020,Zola
